artist,track,spotify_url
Lomepal,Trop beau,4WB9OeauHXnGOMUK4s80gM
Dadju,Jaloux,4z1gMvWV2ofN66kDuieHMq
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0KoiMHhqKLoL4xM54rcWYY
Orelsan,Rêves bizarres (feat. Damso),7lhuM9WUqdThw72dCBRmQW
Aya Nakamura,Copines,1Bhm5HNO1cq8olDbBmokyL
Jul,Ma che beauté,0XXooKwo0L6gxn0OxZFDXw
Trois Cafés Gourmands,À nos souvenirs,3LgrzjwX7RVTtAX9Ai12Qm
Lomepal,Mômes,2FRnrkO72S9tbqu6eLjq6b
Lomepal,Ne me ramène pas,0XzLCD3Gnk7G6U72PnOWfr
Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ
Lomepal,Plus de larmes,2MknoFgWs0xJshIAGfGgf1
Lomepal,Évidemment,43yYuYeSOOupBHOkH9pRtF
Vegedream,Ramenez la coupe à la maison,45eY7Qi2PDUs8WJEhjGWdN
Aya Nakamura,La dot,3aRgAfrt6aQW8IimLq2aVG
Lomepal,Beau la folie,5Dj45c1qB3tCmevdPqvD4f
Aya Nakamura,Sucette (feat. Niska),3qHs2PoiJMPvdxgyRSvqAl
Bad Bunny,MIA (feat. Drake),3Ueq2zboxwAbsvHrOjdEqz
Lomepal,Le vrai moi,7E7HEM4y50AACKV8BaT7OI
Booba,Petite fille,68t93W7Mdwlvia5CpHNsBM
The Prince Karma,Later Bitches,2UqYHXtJ0qLzd3fajJ7HSb
Aya Nakamura,Djadja,7sKDftgGirHWTVFMtJoDoh
Calvin Harris,Promises (with Sam Smith) - Illyus & Barrientos Remix,43P4CvRCS6HmVERmYfM8ma
Lomepal,Le lendemain de l'orage,6sG00oroR1oYJiPwRxZkA5
Queen,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J
Redbone,Come and Get Your Love - Single Version,7GVUmCP00eSsqc4tzj1sDD
Maes,Billets verts,3uTNli5uz5rNOqD6qZFi8L
LSD,"Thunderclouds (feat. Sia, Diplo & Labrinth)",7nLK5rjEy6LPZNPG1BXxu7
Lomepal,Dave Grohl,4FUiJJPW0bvjXVqFuTonSz
Angèle,Ta reine,3iXhLi33EpUfcOwasC8un1
Aya Nakamura,Oula,3yKHE0h9BUxpHZe1EqmJnX
XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL
Lomepal,Ma cousin,5hLsl4Izx2zxnqHradLPNt
Booba,BB,0YCMh9HQkRpAtkj0i1sZqH
Kaaris,Débrouillard,5hYfXfLP8FL3v0zJlv2zUG
Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,6V1bu6o1Yo5ZXnsCJU8Ovk
Angèle,Balance ton quoi,2jX5c5RFp0A9E1GDsvGxIa
Tones And I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K
Aya Nakamura,40%,47LFcy7prvEY5D08d26zOo
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
Gambi,POPOPOP,5f0TOjFP3c96TFHzKnx5ri
SCH,Mayday (feat. Ninho),1SVuEeerYIwjCRsF5MGzX3
Angèle,Oui ou non,7rBP4bLjMLNkix1nGHjheP
Naza,Loin de moi,2wQt5updiOTtTLe25QlW5O
47ter,Côte Ouest,2amrInRmNzmt4Etb6Yn1er
Maroon 5,Memories,4cktbXiXOapiLBMprHFErI
Gambi,HÉ OH,1bWafkUCOp6luXRs1cm3w9
Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn
Dadju,Ma vie,04c9W375VlrbMF7P03CyWA
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ
Vitaa,Avant toi,5vO9qRqUI33TkbHK3IKTgo
Dadju,Compliqué,6VtG4p0It4nM0aStU46hEl
Major Lazer,Que Calor (feat. J Balvin & El Alfa),1RKZvaLj3UPhGjZkaIrFm7
Ninho,La vie qu'on mène,0Jh6iWjna1wk5le0Ahn7No
Niska,Bâtiment,7FF6HRsQlc0CtfAbLmrEGX
Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK
SCH,R.A.C.,0GN6DWiR9Pf2su3vJF5c0x
Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG
