track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Trop beau,Lomepal,spotify:track:4WB9OeauHXnGOMUK4s80gM,0.748,0.66,4,-6.034,0,0.0404,0.295,5.56e-06,0.0883,0.324,123.902,244587,4
Jaloux,Dadju,spotify:track:4z1gMvWV2ofN66kDuieHMq,0.5579999999999999,0.797,8,-3.89,0,0.0739,0.193,0.0,0.399,0.368,139.99200000000002,233986,4
Shallow,Lady Gaga,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.799,215733,4
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,spotify:track:0KoiMHhqKLoL4xM54rcWYY,0.8420000000000001,0.8009999999999999,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
Reves bizarres (feat. Damso),Orelsan,spotify:track:7lhuM9WUqdThw72dCBRmQW,0.816,0.652,10,-6.157,0,0.231,0.11,0.0,0.0957,0.736,143.995,212609,4
Copines,Aya Nakamura,spotify:track:1Bhm5HNO1cq8olDbBmokyL,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.02700000000004,171720,4
Ma che beaute,Jul,spotify:track:0XXooKwo0L6gxn0OxZFDXw,0.889,0.757,8,-5.495,1,0.165,0.329,0.0,0.0584,0.8370000000000001,119.975,218926,4
A nos souvenirs,Trois Cafes Gourmands,spotify:track:3LgrzjwX7RVTtAX9Ai12Qm,0.6759999999999999,0.856,1,-4.609,0,0.134,0.305,0.0,0.0955,0.455,133.847,192990,4
Momes,Lomepal,spotify:track:2FRnrkO72S9tbqu6eLjq6b,0.687,0.511,0,-8.148,0,0.184,0.456,2.37e-06,0.116,0.42,149.92,176800,4
Ne me ramene pas,Lomepal,spotify:track:0XzLCD3Gnk7G6U72PnOWfr,0.737,0.522,6,-8.492,0,0.511,0.542,0.0,0.0772,0.0496,89.913,136507,4
"thank u, next",Ariana Grande,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.7170000000000001,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
Plus de larmes,Lomepal,spotify:track:2MknoFgWs0xJshIAGfGgf1,0.461,0.5329999999999999,9,-8.825,0,0.113,0.473,0.0,0.239,0.464,127.254,214293,4
Evidemment,Lomepal,spotify:track:43yYuYeSOOupBHOkH9pRtF,0.64,0.715,10,-7.041,0,0.0945,0.675,6.26e-05,0.115,0.397,92.878,198640,4
Ramenez la coupe a la maison,Vegedream,spotify:track:45eY7Qi2PDUs8WJEhjGWdN,0.8079999999999999,0.6609999999999999,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992,235556,4
La dot,Aya Nakamura,spotify:track:3aRgAfrt6aQW8IimLq2aVG,0.448,0.513,0,-6.108,1,0.163,0.203,0.0,0.0947,0.7509999999999999,82.45100000000002,201720,4
Beau la folie,Lomepal,spotify:track:5Dj45c1qB3tCmevdPqvD4f,0.424,0.5589999999999999,11,-8.34,0,0.206,0.422,2.01e-05,0.464,0.46,164.65200000000004,190120,5
Sucette (feat. Niska),Aya Nakamura,spotify:track:3qHs2PoiJMPvdxgyRSvqAl,0.799,0.7809999999999999,5,-6.115,0,0.128,0.235,1.05e-06,0.0638,0.672,189.954,167067,4
MIA (feat. Drake),Bad Bunny,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,210368,4
