Artiste,Titre
MAES FEAT. BOOBA,MADRINA
LOMEPAL,TROP BEAU
ANGèLE FEAT. ROMéO ELVIS,TOUT OUBLIER
LOMEPAL FEAT. ROMéO ELVIS,1000°C
DADJU,JALOUX
BRAMSITO FEAT. BOOBA,SALE MOOD
LADY GAGA & BRADLEY COOPE...,SHALLOW
DJ SNAKE FEAT. SELENA GOM...,TAKI TAKI
ORELSAN FEAT. DAMSO,RêVES BIZARRES
AYA NAKAMURA,COPINES
LOMEPAL FEAT. JEANJASS,X-MEN
JUL,MA CHE BEAUTé
TROIS CAFéS GOURMANDS,À NOS SOUVENIRS
LOMEPAL FEAT. ORELSAN,LA VéRITé
LOMEPAL,MôMES
LOMEPAL,NE ME RAMèNE PAS
ARIANA GRANDE,"THANK U, NEXT"
LOMEPAL,PLUS DE LARMES
LOMEPAL,ÉVIDEMMENT
VEGEDREAM,RAMENEZ LA COUPE à LA MAISON
AYA NAKAMURA,LA DOT
VITAA FEAT. SLIMANE,JE TE LE DONNE
LOMEPAL,BEAU LA FOLIE
AYA NAKAMURA FEAT. NISKA,SUCETTE
"DAVID GUETTA, BEBE REXHA ...",SAY MY NAME
BAD BUNNY FEAT. DRAKE,MIA
DYNORO & GIGI D'AGOSTINO,IN MY MIND
LOMEPAL,LE VRAI MOI
BOOBA,PETITE FILLE
JUL FEAT. NINHO,ET JE DEVIENS FOU
MéDINE FEAT. BOOBA,KYLL
THE PRINCE KARMA,LATER BITCHES
AYA NAKAMURA,DJADJA
CALVIN HARRIS & SAM SMITH,PROMISES
MHD FEAT. WIZKID,BELLA
LOMEPAL,LE LENDEMAIN DE L'ORAGE
QUEEN,BOHEMIAN RHAPSODY
RIM'K FEAT. NINHO,AIR MAX
REDBONE,COME AND GET YOUR LOVE
MAES,BILLETS VERTS
"LSD FEAT. SIA, DIPLO & LA...",THUNDERCLOUDS
LOMEPAL,DAVE GROHL
ANGèLE,TA REINE
AYA NAKAMURA,OULA
XXXTENTACION,MOONLIGHT
LOMEPAL,MA COUSIN
BOOBA,BB
KAARIS,DéBROUILLARD
IMAGINE DRAGONS,NATURAL
MAROON 5 FEAT. CARDI B,GIRLS LIKE YOU
ANGèLE,BALANCE TON QUOI
GRADUR FEAT. HEUSS L'ENFO...,NE REVIENS PAS
HEUSS L'ENFOIRÉ FEAT. JUL,MOULAGA
TONES AND I,DANCE MONKEY
AYA NAKAMURA,40%
THE WEEKND,BLINDING LIGHTS
GAMBI,POPOPOP
SCH FEAT. NINHO,MAYDAY
ANGÈLE,OUI OU NON
NAZA,LOIN DE MOI
MISTER V FEAT. PLK,JAMAIS
47TER,CÔTE OUEST
THE BLACK EYED PEAS & J B...,RITMO (BAD BOYS FOR LIFE)
MAROON 5,MEMORIES
LARRY FEAT. RK,WOIN WOIN
GAMBI,HÉ OH
MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
DADJU,MA VIE
REGARD,RIDE IT
VITAA & SLIMANE,AVANT TOI
DADJU,COMPLIQUÉ
MAJOR LAZER FEAT. J BALVI...,QUE CALOR
MAÎTRE GIMS & STING,RESTE
NINHO,LA VIE QU'ON MÈNE
NISKA,BÂTIMENT
JUL FEAT. JIMMY SAX,IBIZA
ARIZONA ZERVAS,ROXANNE
"GLK FEAT. LANDY, DA UZI &...",93% (TIJUANA)
SCH,R.A.C.
TAYC FEAT. BARACK ADAMA,"MOI, JE PROUVE."
LIL NAS X,OLD TOWN ROAD
SHAWN MENDES & CAMILA CAB...,SEÑORITA
SHAED,TRAMPOLINE
BAKERMAT,BAIANÁ
SAINT JHN,ROSES
JORJA SMITH FEAT. BURNA B...,BE HONEST
MOHA LA SQUALE,MA BELLE
JUL,MON BÉBÉ D'AMOUR
MAES,STREET
SCH,ÇA IRA
NEKFEU FEAT. VANESSA PARA...,DANS L'UNIVERS
KOBA LAD,MORTEL
